"family"	"genus"	"subfamily"	"center language family"	" center language genus"	" center language subfamily"	"center language"	" distance from centre"	"total languages in the area"	"wals_code"	"1A"	"2A"	"3A"	"4A"	"5A"	"6A"	"7A"	"8A"	"9A"	"10A"	"10B"	"11A"	"12A"	"13A"	"14A"	"15A"	"16A"	"17A"	"18A"	"19A"	"20A"	"21A"	"21B"	"22A"	"23A"	"24A"	"25A"	"25B"	"26A"	"27A"	"28A"	"29A"	"30A"	"31A"	"32A"	"33A"	"34A"	"35A"	"36A"	"37A"	"38A"	"39A"	"39B"	"40A"	"41A"	"42A"	"43A"	"44A"	"45A"	"46A"	"47A"	"48A"	"49A"	"50A"	"51A"	"52A"	"53A"	"54A"	"55A"	"56A"	"57A"	"58A"	"58B"	"59A"	"60A"	"61A"	"62A"	"63A"	"64A"	"65A"	"66A"	"67A"	"68A"	"69A"	"70A"	"71A"	"72A"	"73A"	"74A"	"75A"	"76A"	"77A"	"78A"	"79A"	"79B"	"80A"	"81A"	"81B"	"82A"	"83A"	"84A"	"85A"	"86A"	"87A"	"88A"	"89A"	"90A"	"90B"	"90C"	"90D"	"90E"	"90F"	"90G"	"91A"	"92A"	"93A"	"94A"	"95A"	"96A"	"97A"	"98A"	"99A"	"100A"	"101A"	"102A"	"103A"	"104A"	"105A"	"106A"	"107A"	"108A"	"108B"	"109A"	"109B"	"110A"	"111A"	"112A"	"113A"	"114A"	"115A"	"116A"	"117A"	"118A"	"119A"	"120A"	"121A"	"122A"	"123A"	"124A"	"125A"	"126A"	"127A"	"128A"	"129A"	"130A"	"130B"	"131A"	"132A"	"133A"	"134A"	"135A"	"136A"	"136B"	"137A"	"137B"	"138A"	"139A"	"140A"	"141A"	"142A"	"143A"	"143B"	"143C"	"143D"	"143E"	"143F"	"143G"	"144A"	"144B"	"144C"	"144D"	"144E"	"144F"	"144G"	"144H"	"144I"	"144J"	"144K"	"144L"	"144M"	"144N"	"144O"	"144P"	"144Q"	"144R"	"144S"	"144T"	"144U"	"144V"	"144W"	"144X"	"144Y"
"Sepik"	"Sepik Hill"		"Lower Sepik-Ramu"	"Lower Sepik"		"yim"	24.0123655952	170	"ala"	3	3	2	2	2	1	1	1	3	2		1	3	1	1	6	5		1	1	1	5	1	6	1	2	5	2	2	1	1	3	2	2	2	8	6	6	3	1	4	3		3	2	1	5	3	1		1	2	7	2	6	2	6		1		4	2	1	1			8	1	2	1	2	1	4	2	1	4	1	2				1	1	1	5	1	1		1	1	6	1	1	1	1	1	2	1						2	6	2		1	1	1	1		2	2	5	2	2	3		2	3	4	1	4		4	2	3	2		6	4	3	1	1		4	4		3	3	3					3					1	1	1	1						1				1	4	4	7	3										3				4	4	1	11						
"Torricelli"	"Kombio-Arapesh"		"Lower Sepik-Ramu"	"Lower Sepik"		"yim"	140.04381885	170	"arp"	2	3	2	2	2	1	1	2	3	2		1	2	1	6	8	1		1	1	1	5	1	3	1	2	5	2	5	1	1	3	5	2	3	2		5	2		1	3		3	2	1	4	2	1			1	1	1	9	2	1					2	1	1			8			2	4	1	4	1	1	2	4	2				1	1	4	5	1	2		1	2		2	3	1	1	1									2	2	5	4		3	1	1	4	2	5	2	2		1	2	3	4	3	2			2	3	2		1		3	1	2	3	4			1			1									1	1	1	1						15		1		1	1	4	19	3		15			1	4	3	7	3														
"Trans-New Guinea"	"Engan"		"Lower Sepik-Ramu"	"Lower Sepik"		"yim"	206.254509926	170	"kew"	3	2	3	1	1	1	1	3	3			1	1	2	1	7	6	5	1	1	1	1	3	4	2	2	2	2	2		1	2	1	1	1	2		4		5	5	3		3			1	6	1			2	6	2	6		8		1		4	2	1	1						2	2	1	3	2	1	1	4	2		3		3	2	1	5	1	1		1	1		1	1	1	1	2	7	3		2					2	2	2	1	5	1	4	4	4	2	2	2	1		1	2	3	4	1	4		2	1	1	7		1		2	1	2					3	1	1	1	2	2							1	1	1	1						3				2	4	4	20											5				4	4	2	11						
"Trans-New Guinea"	"Madang"		"Lower Sepik-Ramu"	"Lower Sepik"		"yim"	231.317073533	170	"tau"																									3	2	5	2	3							9	4			4	1				2	3	1	6				1			6	2	1				1	2	1	2					2					2	1	2						1	1				1		1	1		1	1	2	1	2	7	2	2						2	2	5	1	5	2			2	2	5	2	3	3		2	3	4					2	1	7		1								1													1	1	1	1						1				1	4	4	7	3										3				4	4	1	11						
"Trans-New Guinea"	"Eastern Highlands"		"Lower Sepik-Ramu"	"Lower Sepik"		"yim"	270.7455927	170	"hua"																									3	3	3	2	3																3			6				2	7	4	1	2			1		3	2	1	3			8							2													1		1	1		1	1	1	1	1	2	1							6	2		1	1	1			2	2	5	2	3			2							1				2																					1	1	1	1						3				2	4	4	20											5				4	4	2	11						
"Trans-New Guinea"	"Eastern Highlands"		"Lower Sepik-Ramu"	"Lower Sepik"		"yim"	277.541282082	170	"ygr"	1	2	3	2	2	1	3	3				1	3	2					1	1									4							8				4	2				3	2									6						3									1	4	1	3	4													1		1	1	3	1	1	1		2	2	1					4		2	2	5	1	1	1				2													1				1		2	2	2		4							1	1	3															3				2	4	4	20											5				4	4	2	11						
"Skou"	"Western Skou"		"Lower Sepik-Ramu"	"Lower Sepik"		"yim"	333.117432678	170	"dum"	1	3	1	2	1	1	1	2				1		3					1	1					4	1	5	2																				1				2			9				1			2	1	2																							1		1	1	5		1	2	2	2									2	2				2			2	1	2	2	1			2							2	1	7		1																					1	1	2	2						2				4	1	4	8	4										4				4	4	8	1						
"Sentani"	"Sentani"		"Lower Sepik-Ramu"	"Lower Sepik"		"yim"	402.538241932	170	"snt"	1	3	1	2	1	1	1	1	3			1			1	3	3	1	1	1									2		1	2	1	1	1	9		4				3		3			2	6	1			2	1	1	9				1		4	2	1	3					2					2	1	2	1	2		3		1	1	4	5	1	1		1	1		1	1	2	1	2								2		2		1		2			2		5	2	2			2							1	2	1				2	1	2																	1	1	1	1						3				2	4	4	20											5				4	4	2	11						
																																																																																																																																																																																																									
"Trans-New Guinea"	"Mek"		"Trans-New Guinea"	"Engan"		"kew"	470.646616278	174	"una"	3	3	2	2	5	1	1	2	2			1	2	2					1	1									2		4	3	1	1	1			4				3		3				6				2	1	3	9	2	4				1													2	1	4		2	1	2	3	1	1				1		1	1		1	1	2	1	2	2	1						1	6	2		1	1	2	4	4	2	2	5	2	3			2	3	4	2	4		2	2	1	7		2																5														1				1	4	4	7	3										3				4	4	1	11						
"Trans-New Guinea"	"Binanderean"		"Trans-New Guinea"	"Engan"		"kew"	432.989057711	174	"sue"	5	2	2	2	2	1	1	1	3	2		1	1	2					1	1					4	2	5	2	2		2	2	1	1	1		2	7				5		5				6	2		1	2	4	3	1				1		4	2	1	1					1	2	2	1	4	2	1		4	2	2			2	4	1	5	1	1		1	1		1	1	2	2	2									6	2	1	1		2	4	1	2	5	2	2	1	1		2	3	4	8	5				3	1		2								1																						1				1	4	4	21											14							11						
"Sepik"	"Ram"		"Trans-New Guinea"	"Engan"		"kew"	382.635923114	174	"awt"															6	8	1	1							2	2	2	2	3							2			1	1	2							3				1			6	1	1		1		4	2	1	1				1						2													1		1	1	6	1	1	2	1	2	2	1						2	2	2	2	1	1	2			1	5	1	1	1			2							1				1	3	2	1	2																	1	1	1	1						3				2	4	4	20											5				4	4	2	11						
"Trans-New Guinea"	"Madang"		"Trans-New Guinea"	"Engan"		"kew"	327.04975781	174	"wsk"																									3	1	5	2	2	1										1	1							6				4			9	2					1	2	1	2				2						2													1		1	1		1	1	2	2	2								2		2		1		2			2		2	2	1			2							2				1	4	2	1	2												6					3	2	1	2						1				1	4	4	7	3										3				4	4	1	11						
"Trans-New Guinea"	"Madang"		"Trans-New Guinea"	"Engan"		"kew"	238.299493839	174	"ame"	5	2	3	2	3	1	1	2	3	2		1	2	1	1	5	3	5	1	3	1	5	1	4	1	2	5	2	2	1	1	2	1	1	1	6	3	5	4	4	1	3		3	3	1	1	6	1	2	1	2	1	1	9	2	5	1	1	2	2	2	1	4	4	2	2	2	2	2	2	1	2	2	5	4	1	2	3	3	3	1	1	4	5	2	1		1	1	3	1	1	2	2	2	1		1					2	2	2	2	1	2	2	1	1	2		5	2	3	1	1	2	3	4	1	4	1	2	2	3	3		1	4	2	1	2	2	2	2	2	2	3	1	1									1	1	1	1					2	15		18		1	2	4	19											17			14	4	2	3	4						
"Sepik"	"Sepik Hill"		"Trans-New Guinea"	"Engan"		"kew"	211.232985885	174	"ala"	3	3	2	2	2	1	1	1	3	2		1	3	1	1	6	5		1	1	1	5	1	6	1	2	5	2	2	1	1	3	2	2	2	8	6	6	3	1	4	3		3	2	1	5	3	1		1	2	7	2	6	2	6		1		4	2	1	1			8	1	2	1	2	1	4	2	1	4	1	2				1	1	1	5	1	1		1	1	6	1	1	1	1	1	2	1						2	6	2		1	1	1	1		2	2	5	2	2	3		2	3	4	1	4		4	2	3	2		6	4	3	1	1		4	4		3	3	3					3					1	1	1	1						1				1	4	4	7	3										3				4	4	1	11						
"Trans-New Guinea"	"Madang"		"Trans-New Guinea"	"Engan"		"kew"	185.627289503	174	"tau"																									3	2	5	2	3							9	4			4	1				2	3	1	6				1			6	2	1				1	2	1	2					2					2	1	2						1	1				1		1	1		1	1	2	1	2	7	2	2						2	2	5	1	5	2			2	2	5	2	3	3		2	3	4					2	1	7		1								1													1	1	1	1						1				1	4	4	7	3										3				4	4	1	11						
"Trans-New Guinea"	"Eastern Highlands"		"Trans-New Guinea"	"Engan"		"kew"	166.780247085	174	"hua"																									3	3	3	2	3																3			6				2	7	4	1	2			1		3	2	1	3			8							2													1		1	1		1	1	1	1	1	2	1							6	2		1	1	1			2	2	5	2	3			2							1				2																					1	1	1	1						3				2	4	4	20											5				4	4	2	11						
"Trans-New Guinea"	"Engan"		"Trans-New Guinea"	"Engan"		"kew"	0	174	"kew"	3	2	3	1	1	1	1	3	3			1	1	2	1	7	6	5	1	1	1	1	3	4	2	2	2	2	2		1	2	1	1	1	2		4		5	5	3		3			1	6	1			2	6	2	6		8		1		4	2	1	1						2	2	1	3	2	1	1	4	2		3		3	2	1	5	1	1		1	1		1	1	1	1	2	7	3		2					2	2	2	1	5	1	4	4	4	2	2	2	1		1	2	3	4	1	4		2	1	1	7		1		2	1	2					3	1	1	1	2	2							1	1	1	1						3				2	4	4	20											5				4	4	2	11						
"Trans-New Guinea"	"Madang"		"Trans-New Guinea"	"Engan"		"kew"	158.240336423	174	"kob"	3	3	2	1	1	1	1	2	2	2		1	2	1	6	8	1	5	1	1					4	4	5	2	2		1	2	1	1	1	2	3	4		4	1	3		3	2	1	1	6	1	2	1	2	1	3	9	2	1		1		1	2	1	2			1	2	2					2	1	1	1	2	1	3	3	1	1				1		1	1		1	1	2	2	2	7	5					2	2	2	2		1	5	2	1	2	2	2	2	4	1	2		2	3	4	8	5	1	3	1	1	7	1	1	3	2	2	2	3	4	4	4	3	1	2					5					1	1	1	1						4				4	2	4	20											6				4	4	8	2						
"Trans-New Guinea"	"Eastern Highlands"		"Trans-New Guinea"	"Engan"		"kew"	175.93437838	174	"ygr"	1	2	3	2	2	1	3	3				1	3	2					1	1									4							8				4	2				3	2									6						3									1	4	1	3	4													1		1	1	3	1	1	1		2	2	1					4		2	2	5	1	1	1				2													1				1		2	2	2		4							1	1	3															3				2	4	4	20											5				4	4	2	11						
"Lower Sepik-Ramu"	"Lower Sepik"		"Trans-New Guinea"	"Engan"		"kew"	206.254509926	174	"yim"	1	1	4	1	1	1	1	2	1	2		1	2	1	2	8	1	1	3	1					1	2	5	2	4	1	1	2	5	2	3	2	6	4		5	5	3		3	3	1	2	6	1		1	3	9	4	1		6	1	1	1		2	1	1	6	2	2		3					2	1	4	1	2	1	2	1	1	1	1	5	1			1	1	6	1	1	3	2													1		5	1	1	6	2	5	2	4	1		2	3	4	3	4	3	4	1	2	5			4	3	1	1		4		1	3	2	1					3					3	2	1	2						3				2	4	4	20											20													
"Trans-New Guinea"	"Madang"		"Trans-New Guinea"	"Engan"		"kew"	236.876359838	174	"usa"	1	2	2	2	1	1	1	1	3	2		1	2	1	1	7	6		1	1					1	1	1	2			1	2	1	1	1		1	4		2		3		3			1	6		2	2	3	9	3			8											1	1					2				2	1	2	3	1	1	1	5	3	1		1	1		1	1	2	2	2								1	6	2		1		2	1	1	2	2	5	2	3	3		2	3	4	1	4		2	2	3	4		6	3	2	2	2		2	2														2	2	1	1						1				1	4	4	7	3										3				4	4	1	11						
"Trans-New Guinea"	"Angan"		"Trans-New Guinea"	"Engan"		"kew"	288.965040327	174	"ham"	1	3	1	1	1	2	2	1	1			1	3	2					1	1									4	1	1	2						4				3		3				2				1	8	6							1								2					4	1	1	1	2	1	2	3	2	4				1		1	1		1		2	2	2								1	2	2		1		2	1	1	2	2	5	2	2			2							1	2	1		1									3	3	3																			3				2	4	4	20											5				4	4	2	11						
"Torricelli"	"Kombio-Arapesh"		"Trans-New Guinea"	"Engan"		"kew"	345.27943265	174	"arp"	2	3	2	2	2	1	1	2	3	2		1	2	1	6	8	1		1	1	1	5	1	3	1	2	5	2	5	1	1	3	5	2	3	2		5	2		1	3		3	2	1	4	2	1			1	1	1	9	2	1					2	1	1			8			2	4	1	4	1	1	2	4	2				1	1	4	5	1	2		1	2		2	3	1	1	1									2	2	5	4		3	1	1	4	2	5	2	2		1	2	3	4	3	2			2	3	2		1		3	1	2	3	4			1			1									1	1	1	1						15		1		1	1	4	19	3		15			1	4	3	7	3														
"Marind"	"Marind Proper"		"Trans-New Guinea"	"Engan"		"kew"	430.832287618	174	"mrd"	2	2	3	4	2	1	1	3				1	2	1	7	8	1	2	1	1											1	2	4	2	2			8	3			2		3				3				2	1	1		2	1				1							1						1	1	2	4	1	1	3	3	2	4				1		1	1		1	1			3									2			1			1	1	2		5	2	2			2							2				3		2	2	1																										1				1	4	4	21											14							11						
"Border"	"Border"		"Trans-New Guinea"	"Engan"		"kew"	459.610572152	174	"imo"	1	3	1	1	1	1	1	2	3	2		1	3	1					1	1	1	1	1	6	3	3	3	2			4	1	1	1	1	9	1	2		5	5	4		1	2	1	1	6	1		1	2	5	2	6	2	1	1	1	2	4	2	1	2	6	4	8		2	1	1	1	3	2	4	4	4	2	1	2	3	1	1	4	5	2			1	1		1	1	2	6	2	7	3		2				3				1	5	2	6	6	1	5	1	1	1	1	4	2	3	4	3	4			2	3	4		1		2	1	2		4	4	1		1	1					6					1	1	1	1						1				1	4	4	21											18													
																																																																																																																																																																																																									
"Trans-New Guinea"	"Dani"		"Sepik"	"Sepik Hill"		"ala"	500.208298232	171	"dni"	1	3	1	1	1	1	1	2	2			1	2	1	7	8	1	1	1	1	1	5	1	4	1	3	5	2	2		1	2	1	1	1			5	1	5	5	3		3			3	6	1			3	6	2	1	2					1	1	1	2						1	2	1	4	2	1	4	1	2	1	2	2	2	4	4	5	1	1		1	1		1	1		2		1		1						6		5	1	2		4	4	2	2	5	2	3		1	2	3	4	3	2			2	3	1		2						4			3	3	2										1	1	1	1						2				4	1	4	8	4										4				4	4	8	1						
"Trans-New Guinea"	"Angan"		"Sepik"	"Sepik Hill"		"ala"	450.818167345	171	"ham"	1	3	1	1	1	2	2	1	1			1	3	2					1	1									4	1	1	2						4				3		3				2				1	8	6							1								2					4	1	1	1	2	1	2	3	2	4				1		1	1		1		2	2	2								1	2	2		1		2	1	1	2	2	5	2	2			2							1	2	1		1									3	3	3																			3				2	4	4	20											5				4	4	2	11						
"Trans-New Guinea"	"Mek"		"Sepik"	"Sepik Hill"		"ala"	369.420665043	171	"una"	3	3	2	2	5	1	1	2	2			1	2	2					1	1									2		4	3	1	1	1			4				3		3				6				2	1	3	9	2	4				1													2	1	4		2	1	2	3	1	1				1		1	1		1	1	2	1	2	2	1						1	6	2		1	1	2	4	4	2	2	5	2	3			2	3	4	2	4		2	2	1	7		2																5														1				1	4	4	7	3										3				4	4	1	11						
"Trans-New Guinea"	"Madang"		"Sepik"	"Sepik Hill"		"ala"	296.151735283	171	"wsk"																									3	1	5	2	2	1										1	1							6				4			9	2					1	2	1	2				2						2													1		1	1		1	1	2	2	2								2		2		1		2			2		2	2	1			2							2				1	4	2	1	2												6					3	2	1	2						1				1	4	4	7	3										3				4	4	1	11						
"Trans-New Guinea"	"Eastern Highlands"		"Sepik"	"Sepik Hill"		"ala"	288.694692329	171	"hua"																									3	3	3	2	3																3			6				2	7	4	1	2			1		3	2	1	3			8							2													1		1	1		1	1	1	1	1	2	1							6	2		1	1	1			2	2	5	2	3			2							1				2																					1	1	1	1						3				2	4	4	20											5				4	4	2	11						
"Trans-New Guinea"	"Madang"		"Sepik"	"Sepik Hill"		"ala"	257.55274745	171	"ame"	5	2	3	2	3	1	1	2	3	2		1	2	1	1	5	3	5	1	3	1	5	1	4	1	2	5	2	2	1	1	2	1	1	1	6	3	5	4	4	1	3		3	3	1	1	6	1	2	1	2	1	1	9	2	5	1	1	2	2	2	1	4	4	2	2	2	2	2	2	1	2	2	5	4	1	2	3	3	3	1	1	4	5	2	1		1	1	3	1	1	2	2	2	1		1					2	2	2	2	1	2	2	1	1	2		5	2	3	1	1	2	3	4	1	4	1	2	2	3	3		1	4	2	1	2	2	2	2	2	2	3	1	1									1	1	1	1					2	15		18		1	2	4	19											17			14	4	2	3	4						
"Trans-New Guinea"	"Engan"		"Sepik"	"Sepik Hill"		"ala"	211.232985885	171	"kew"	3	2	3	1	1	1	1	3	3			1	1	2	1	7	6	5	1	1	1	1	3	4	2	2	2	2	2		1	2	1	1	1	2		4		5	5	3		3			1	6	1			2	6	2	6		8		1		4	2	1	1						2	2	1	3	2	1	1	4	2		3		3	2	1	5	1	1		1	1		1	1	1	1	2	7	3		2					2	2	2	1	5	1	4	4	4	2	2	2	1		1	2	3	4	1	4		2	1	1	7		1		2	1	2					3	1	1	1	2	2							1	1	1	1						3				2	4	4	20											5				4	4	2	11						
"Sepik"	"Ram"		"Sepik"	"Sepik Hill"		"ala"	190.728836363	171	"awt"															6	8	1	1							2	2	2	2	3							2			1	1	2							3				1			6	1	1		1		4	2	1	1				1						2													1		1	1	6	1	1	2	1	2	2	1						2	2	2	2	1	1	2			1	5	1	1	1			2							1				1	3	2	1	2																	1	1	1	1						3				2	4	4	20											5				4	4	2	11						
"Trans-New Guinea"	"Madang"		"Sepik"	"Sepik Hill"		"ala"	123.953555307	171	"kob"	3	3	2	1	1	1	1	2	2	2		1	2	1	6	8	1	5	1	1					4	4	5	2	2		1	2	1	1	1	2	3	4		4	1	3		3	2	1	1	6	1	2	1	2	1	3	9	2	1		1		1	2	1	2			1	2	2					2	1	1	1	2	1	3	3	1	1				1		1	1		1	1	2	2	2	7	5					2	2	2	2		1	5	2	1	2	2	2	2	4	1	2		2	3	4	8	5	1	3	1	1	7	1	1	3	2	2	2	3	4	4	4	3	1	2					5					1	1	1	1						4				4	2	4	20											6				4	4	8	2						
"Sepik"	"Sepik Hill"		"Sepik"	"Sepik Hill"		"ala"	0	171	"ala"	3	3	2	2	2	1	1	1	3	2		1	3	1	1	6	5		1	1	1	5	1	6	1	2	5	2	2	1	1	3	2	2	2	8	6	6	3	1	4	3		3	2	1	5	3	1		1	2	7	2	6	2	6		1		4	2	1	1			8	1	2	1	2	1	4	2	1	4	1	2				1	1	1	5	1	1		1	1	6	1	1	1	1	1	2	1						2	6	2		1	1	1	1		2	2	5	2	2	3		2	3	4	1	4		4	2	3	2		6	4	3	1	1		4	4		3	3	3					3					1	1	1	1						1				1	4	4	7	3										3				4	4	1	11						
"Lower Sepik-Ramu"	"Lower Sepik"		"Sepik"	"Sepik Hill"		"ala"	24.0123655952	171	"yim"	1	1	4	1	1	1	1	2	1	2		1	2	1	2	8	1	1	3	1					1	2	5	2	4	1	1	2	5	2	3	2	6	4		5	5	3		3	3	1	2	6	1		1	3	9	4	1		6	1	1	1		2	1	1	6	2	2		3					2	1	4	1	2	1	2	1	1	1	1	5	1			1	1	6	1	1	3	2													1		5	1	1	6	2	5	2	4	1		2	3	4	3	4	3	4	1	2	5			4	3	1	1		4		1	3	2	1					3					3	2	1	2						3				2	4	4	20											20													
"Torricelli"	"Kombio-Arapesh"		"Sepik"	"Sepik Hill"		"ala"	134.708284727	171	"arp"	2	3	2	2	2	1	1	2	3	2		1	2	1	6	8	1		1	1	1	5	1	3	1	2	5	2	5	1	1	3	5	2	3	2		5	2		1	3		3	2	1	4	2	1			1	1	1	9	2	1					2	1	1			8			2	4	1	4	1	1	2	4	2				1	1	4	5	1	2		1	2		2	3	1	1	1									2	2	5	4		3	1	1	4	2	5	2	2		1	2	3	4	3	2			2	3	2		1		3	1	2	3	4			1			1									1	1	1	1						15		1		1	1	4	19	3		15			1	4	3	7	3														
